Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
2.11.2023;Ostrava;16.5;Cloudy;70;SE
3.11.2023;Ostrava;14.8;Rainy;80;W
1.11.2023;Ostrava;15.0;Clear;60;N
2.11.2023;Ostrava;16.5;Cloudy;70;SE
3.11.2023;Ostrava;14.8;Rainy;80;W
1.11.2023;Ostrava;15.0;Clear;60;N
2.11.2023;Ostrava;16.5;Cloudy;70;SE
3.11.2023;Ostrava;14.8;Rainy;80;W
1.11.2023;Ostrava;15.0;Clear;60;N
2.11.2023;Ostrava;16.5;Cloudy;70;SE
3.11.2023;Ostrava;14.8;Rainy;80;W
1.11.2023;Ostrava;15.0;Clear;60;N
2.11.2023;Ostrava;16.5;Cloudy;70;SE
3.11.2023;Ostrava;14.8;Rainy;80;W
1.11.2023;Ostrava;15.0;Clear;60;N
2.11.2023;Ostrava;16.5;Cloudy;70;SE
