Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
2.11.2023;Wroclaw;12.5;Rainy;75;NE
3.11.2023;Wroclaw;9.8;Clear;85;SW
1.11.2023;Wroclaw;10.0;Cloudy;65;E
2.11.2023;Wroclaw;12.5;Rainy;75;NE
3.11.2023;Wroclaw;9.8;Clear;85;SW
1.11.2023;Wroclaw;10.0;Cloudy;65;E
2.11.2023;Wroclaw;12.5;Rainy;75;NE
3.11.2023;Wroclaw;9.8;Clear;85;SW
1.11.2023;Wroclaw;10.0;Cloudy;65;E
2.11.2023;Wroclaw;12.5;Rainy;75;NE
3.11.2023;Wroclaw;9.8;Clear;85;SW
1.11.2023;Wroclaw;10.0;Cloudy;65;E
2.11.2023;Wroclaw;12.5;Rainy;75;NE
3.11.2023;Wroclaw;9.8;Clear;85;SW
1.11.2023;Wroclaw;10.0;Cloudy;65;E
2.11.2023;Wroclaw;12.5;Rainy;75;NE
