Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Banska Bystrica;-8.3;Snowy;72;E
2.1.2020;Banska Bystrica;14.5;Foggy;91;SW
3.1.2020;Banska Bystrica;29.7;Snowy;96;N
4.1.2020;Banska Bystrica;8.5;Rainy;53;S
5.1.2020;Banska Bystrica;34.2;Cloudy;30;SW
6.1.2020;Banska Bystrica;27.9;Foggy;59;N
7.1.2020;Banska Bystrica;33.5;Foggy;43;NE
8.1.2020;Banska Bystrica;-6.0;Foggy;47;SE
9.1.2020;Banska Bystrica;26.3;Rainy;24;NW
10.1.2020;Banska Bystrica;32.3;Snowy;21;E
11.1.2020;Banska Bystrica;17.5;Snowy;84;E
12.1.2020;Banska Bystrica;18.2;Snowy;26;N
13.1.2020;Banska Bystrica;33.6;Rainy;25;N
14.1.2020;Banska Bystrica;23.9;Clear;44;SW
15.1.2020;Banska Bystrica;-1.4;Cloudy;41;N
16.1.2020;Banska Bystrica;33.6;Cloudy;79;NE
17.1.2020;Banska Bystrica;-6.1;Rainy;88;W
18.1.2020;Banska Bystrica;21.3;Foggy;39;E
19.1.2020;Banska Bystrica;-9.7;Cloudy;94;NW
20.1.2020;Banska Bystrica;32.7;Cloudy;85;W
21.1.2020;Banska Bystrica;7.9;Cloudy;32;SW
22.1.2020;Banska Bystrica;-3.3;Clear;80;SE
23.1.2020;Banska Bystrica;23.9;Foggy;42;N
24.1.2020;Banska Bystrica;-8.1;Rainy;43;N
25.1.2020;Banska Bystrica;23.4;Snowy;83;NE
26.1.2020;Banska Bystrica;-7.3;Cloudy;33;S
27.1.2020;Banska Bystrica;31.2;Foggy;56;SW
28.1.2020;Banska Bystrica;24.6;Cloudy;98;S
29.1.2020;Banska Bystrica;34.4;Foggy;27;NE
30.1.2020;Banska Bystrica;12.2;Rainy;62;E
31.1.2020;Banska Bystrica;18.1;Cloudy;43;SE
1.2.2020;Banska Bystrica;31.0;Snowy;87;W
2.2.2020;Banska Bystrica;6.6;Cloudy;80;E
3.2.2020;Banska Bystrica;15.0;Snowy;67;SW
4.2.2020;Banska Bystrica;8.3;Snowy;38;NW
