Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Bratislava;32.2;Snowy;95;S
2.1.2020;Bratislava;-7.1;Foggy;92;NW
3.1.2020;Bratislava;-8.6;Snowy;25;S
4.1.2020;Bratislava;16.5;Cloudy;96;W
5.1.2020;Bratislava;27.2;Clear;76;E
6.1.2020;Bratislava;-8.8;Cloudy;53;E
7.1.2020;Bratislava;29.4;Clear;99;NE
8.1.2020;Bratislava;-6.8;Rainy;91;E
9.1.2020;Bratislava;25.6;Cloudy;24;SW
10.1.2020;Bratislava;6.8;Snowy;57;NE
11.1.2020;Bratislava;0.4;Foggy;25;N
12.1.2020;Bratislava;18.0;Snowy;39;E
13.1.2020;Bratislava;22.5;Snowy;66;NE
14.1.2020;Bratislava;-2.6;Rainy;26;SW
15.1.2020;Bratislava;20.8;Foggy;31;NE
16.1.2020;Bratislava;27.0;Clear;40;W
17.1.2020;Bratislava;15.1;Snowy;41;S
18.1.2020;Bratislava;26.2;Rainy;38;S
19.1.2020;Bratislava;31.8;Snowy;40;S
20.1.2020;Bratislava;24.7;Cloudy;30;SE
21.1.2020;Bratislava;27.0;Foggy;79;W
22.1.2020;Bratislava;2.4;Clear;66;E
23.1.2020;Bratislava;23.6;Foggy;65;E
24.1.2020;Bratislava;8.5;Snowy;71;SE
25.1.2020;Bratislava;-0.9;Clear;64;SE
26.1.2020;Bratislava;-0.1;Clear;68;SE
27.1.2020;Bratislava;26.2;Foggy;93;S
28.1.2020;Bratislava;20.7;Clear;32;W
29.1.2020;Bratislava;12.3;Foggy;50;W
30.1.2020;Bratislava;26.6;Foggy;34;E
31.1.2020;Bratislava;26.1;Foggy;42;N
1.2.2020;Bratislava;0.7;Foggy;35;W
2.2.2020;Bratislava;23.9;Rainy;32;W
3.2.2020;Bratislava;-8.3;Rainy;62;NW
4.2.2020;Bratislava;-5.9;Clear;72;SW
5.2.2020;Bratislava;33.3;Foggy;59;S
6.2.2020;Bratislava;-2.5;Foggy;85;S
7.2.2020;Bratislava;29.7;Clear;42;NE
8.2.2020;Bratislava;-6.9;Snowy;59;W
9.2.2020;Bratislava;10.6;Foggy;36;NE
10.2.2020;Bratislava;14.1;Snowy;85;SW
11.2.2020;Bratislava;5.7;Foggy;80;NE
12.2.2020;Bratislava;30.5;Snowy;77;N
13.2.2020;Bratislava;1.9;Clear;37;S
14.2.2020;Bratislava;13.8;Rainy;71;N
15.2.2020;Bratislava;22.5;Foggy;69;N
16.2.2020;Bratislava;11.8;Snowy;61;NE
17.2.2020;Bratislava;30.3;Cloudy;76;SE
18.2.2020;Bratislava;24.4;Clear;76;N
19.2.2020;Bratislava;3.7;Cloudy;38;NE
20.2.2020;Bratislava;20.5;Snowy;66;E
21.2.2020;Bratislava;20.7;Rainy;97;W
