Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Nitra;344.0;Clear;87;N
2.1.2020;Nitra;12.4;Cloudy;40;W
3.1.2020;Nitra;0.3;Foggy;37;SW
4.1.2020;Nitra;5.6;Snowy;44;SE
5.1.2020;Nitra;3.6;Clear;28;S
6.1.2020;Nitra;8.4;Foggy;25;N
7.1.2020;Nitra;33.0;Foggy;48;W
8.1.2020;Nitra;-7.2;Rainy;29;S
9.1.2020;Nitra;-2.4;Clear;63;N
10.1.2020;Nitra;1.8;Snowy;21;NE
11.1.2020;Nitra;7.1;Rainy;87;NE
12.1.2020;Nitra;14.2;Clear;56;W
13.1.2020;Nitra;12.2;Foggy;92;SE
14.1.2020;Nitra;14.8;Snowy;57;E
15.1.2020;Nitra;4.0;Snowy;40;NW
16.1.2020;Nitra;31.0;Rainy;39;SW
17.1.2020;Nitra;0.8;Snowy;76;S
18.1.2020;Nitra;-8.1;Clear;100;SE
19.1.2020;Nitra;7.4;Foggy;26;NW
20.1.2020;Nitra;28.3;Rainy;33;W
21.1.2020;Nitra;-2.5;Clear;37;NE
22.1.2020;Nitra;7.6;Rainy;61;N
23.1.2020;Nitra;14.0;Cloudy;41;SW
24.1.2020;Nitra;15.5;Clear;69;W
25.1.2020;Nitra;26.9;Foggy;32;N
26.1.2020;Nitra;20.7;Snowy;52;S
27.1.2020;Nitra;-2.1;Cloudy;89;NE
28.1.2020;Nitra;-2.9;Cloudy;40;N
29.1.2020;Nitra;9.6;Foggy;22;NW
30.1.2020;Nitra;31.6;Cloudy;55;N
31.1.2020;Nitra;3.9;Clear;51;N
1.2.2020;Nitra;20.6;Cloudy;80;W
2.2.2020;Nitra;21.9;Snowy;45;W
3.2.2020;Nitra;18.1;Snowy;100;NW
4.2.2020;Nitra;31.2;Cloudy;79;NW
5.2.2020;Nitra;23.0;Cloudy;83;SW
6.2.2020;Nitra;20.8;Snowy;23;W
7.2.2020;Nitra;27.7;Rainy;98;N
8.2.2020;Nitra;28.9;Clear;93;S
9.2.2020;Nitra;-9.8;Foggy;76;W
10.2.2020;Nitra;8.3;Rainy;75;E
11.2.2020;Nitra;23.4;Rainy;23;SE
12.2.2020;Nitra;11.6;Clear;48;NW
13.2.2020;Nitra;24.9;Snowy;37;NE
14.2.2020;Nitra;29.3;Clear;56;S
15.2.2020;Nitra;6.7;Cloudy;25;SW
16.2.2020;Nitra;12.0;Snowy;62;S
17.2.2020;Nitra;11.1;Snowy;92;SW
18.2.2020;Nitra;14.7;Cloudy;45;NE
19.2.2020;Nitra;15.9;Foggy;34;SW
20.2.2020;Nitra;2.5;Clear;84;S
21.2.2020;Nitra;22.9;Snowy;57;N
22.2.2020;Nitra;7.5;Snowy;80;SE
23.2.2020;Nitra;21.1;Snowy;20;N
24.2.2020;Nitra;33.5;Snowy;24;W
25.2.2020;Nitra;24.4;Foggy;74;SW
26.2.2020;Nitra;5.2;Cloudy;20;E
27.2.2020;Nitra;-6.9;Cloudy;37;W
28.2.2020;Nitra;14.7;Snowy;41;SW
29.2.2020;Nitra;6.3;Clear;46;SW
1.3.2020;Nitra;22.5;Rainy;76;W
2.3.2020;Nitra;7.9;Cloudy;99;E
3.3.2020;Nitra;23.7;Clear;49;W
4.3.2020;Nitra;-60.0;Snowy;100;NW
5.3.2020;Nitra;23.0;Foggy;25;NW
6.3.2020;Nitra;20.7;Cloudy;57;NW
7.3.2020;Nitra;13.7;Foggy;65;N
8.3.2020;Nitra;10.3;Cloudy;83;SW
9.3.2020;Nitra;2.5;Snowy;95;SW
10.3.2020;Nitra;34.6;Foggy;73;NE
11.3.2020;Nitra;25.3;Rainy;43;S
12.3.2020;Nitra;18.5;Foggy;57;NE
13.3.2020;Nitra;11.8;Foggy;52;NW
14.3.2020;Nitra;-3.5;Rainy;24;W
15.3.2020;Nitra;3.5;Snowy;30;E
16.3.2020;Nitra;19.5;Snowy;95;SW
17.3.2020;Nitra;-2.9;Snowy;47;SE
18.3.2020;Nitra;20.0;Clear;53;SE
19.3.2020;Nitra;23.4;Foggy;77;W
20.3.2020;Nitra;-2.8;Snowy;70;NW
21.3.2020;Nitra;26.5;Foggy;34;N
22.3.2020;Nitra;24.8;Foggy;87;NW
23.3.2020;Nitra;30.0;Clear;48;N
24.3.2020;Nitra;-5.7;Clear;96;N
25.3.2020;Nitra;18.8;Snowy;86;SE
26.3.2020;Nitra;3.2;Foggy;73;E
27.3.2020;Nitra;22.1;Rainy;42;N
28.3.2020;Nitra;32.2;Snowy;45;S
29.3.2020;Nitra;29.1;Foggy;85;SW
30.3.2020;Nitra;15.8;Rainy;73;NE
31.3.2020;Nitra;24.9;Cloudy;49;NW
1.4.2020;Nitra;2.1;Foggy;72;SE
2.4.2020;Nitra;-7.4;Snowy;23;NW
3.4.2020;Nitra;33.6;Foggy;54;E
4.4.2020;Nitra;30.2;Cloudy;72;S
5.4.2020;Nitra;17.4;Snowy;22;NE
6.4.2020;Nitra;10.1;Snowy;87;SE
7.4.2020;Nitra;21.4;Foggy;56;NE
8.4.2020;Nitra;7.5;Rainy;69;NW
9.4.2020;Nitra;11.2;Snowy;46;N
10.4.2020;Nitra;18.7;Snowy;62;SE
11.4.2020;Nitra;12.9;Rainy;51;SW
12.4.2020;Nitra;0.6;Rainy;87;S
13.4.2020;Nitra;15.4;Rainy;38;E
14.4.2020;Nitra;27.8;Foggy;42;N
15.4.2020;Nitra;24.5;Foggy;66;NE
16.4.2020;Nitra;27.6;Rainy;35;SW
17.4.2020;Nitra;2.1;Rainy;56;SW
