Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Presov;3.7;Cloudy;35;NE
2.1.2020;Presov;29.2;Foggy;69;E
3.1.2020;Presov;5.5;Rainy;92;E
4.1.2020;Presov;18.6;Cloudy;30;SE
5.1.2020;Presov;-2.0;Clear;86;E
6.1.2020;Presov;10.9;Snowy;72;E
7.1.2020;Presov;34.6;Clear;63;E
8.1.2020;Presov;15.6;Rainy;41;SW
9.1.2020;Presov;-2.5;Snowy;96;N
10.1.2020;Presov;0.6;Cloudy;41;E
11.1.2020;Presov;13.4;Rainy;30;S
12.1.2020;Presov;30.5;Rainy;36;W
13.1.2020;Presov;33.9;Clear;25;S
14.1.2020;Presov;32.2;Foggy;24;NW
15.1.2020;Presov;19.1;Snowy;53;NW
16.1.2020;Presov;6.3;Foggy;29;NE
17.1.2020;Presov;-8.0;Clear;28;NW
18.1.2020;Presov;19.3;Foggy;83;NW
19.1.2020;Presov;6.1;Clear;58;S
20.1.2020;Presov;11.1;Snowy;88;W
21.1.2020;Presov;9.1;Snowy;95;N
22.1.2020;Presov;25.9;Rainy;100;SW
23.1.2020;Presov;24.9;Foggy;58;E
24.1.2020;Presov;34.9;Rainy;72;SW
25.1.2020;Presov;31.5;Cloudy;50;N
26.1.2020;Presov;22.9;Cloudy;56;S
27.1.2020;Presov;10.2;Cloudy;40;NE
28.1.2020;Presov;-0.5;Clear;80;N
29.1.2020;Presov;34.5;Clear;51;N
30.1.2020;Presov;-1.0;Clear;94;SW
31.1.2020;Presov;8.1;Cloudy;71;W
1.2.2020;Presov;32.4;Cloudy;64;NE
2.2.2020;Presov;25.1;Clear;47;E
3.2.2020;Presov;20.6;Foggy;94;S
4.2.2020;Presov;25.3;Snowy;37;NE
5.2.2020;Presov;33.2;Cloudy;32;SE
6.2.2020;Presov;19.9;Clear;42;NE
7.2.2020;Presov;-4.9;Rainy;64;SW
8.2.2020;Presov;32.4;Snowy;64;W
9.2.2020;Presov;-2.8;Cloudy;72;W
10.2.2020;Presov;7.4;Cloudy;86;W
11.2.2020;Presov;29.1;Rainy;78;NE
12.2.2020;Presov;23.1;Snowy;23;SW
13.2.2020;Presov;-3.5;Clear;99;E
14.2.2020;Presov;29.7;Snowy;46;NW
15.2.2020;Presov;-9.3;Foggy;57;SW
16.2.2020;Presov;0.7;Snowy;59;N
17.2.2020;Presov;30.0;Clear;56;SE
18.2.2020;Presov;0.0;Cloudy;67;NW
19.2.2020;Presov;7.9;Cloudy;35;E
20.2.2020;Presov;24.9;Foggy;65;NW
21.2.2020;Presov;-0.7;Snowy;95;S
22.2.2020;Presov;11.4;Foggy;21;W
23.2.2020;Presov;31.1;Clear;30;N
24.2.2020;Presov;15.3;Rainy;32;NE
25.2.2020;Presov;34.4;Clear;29;SE
26.2.2020;Presov;21.8;Cloudy;34;N
27.2.2020;Presov;-7.1;Rainy;28;E
28.2.2020;Presov;-0.3;Clear;64;NW
29.2.2020;Presov;27.3;Foggy;88;S
1.3.2020;Presov;28.7;Clear;68;NW
2.3.2020;Presov;16.2;Snowy;43;SW
3.3.2020;Presov;-5.4;Cloudy;89;SW
4.3.2020;Presov;33.8;Snowy;37;W
5.3.2020;Presov;11.3;Rainy;52;NW
6.3.2020;Presov;9.4;Rainy;95;NW
7.3.2020;Presov;8.4;Rainy;91;S
8.3.2020;Presov;8.9;Rainy;59;W
9.3.2020;Presov;-5.4;Cloudy;20;SW
10.3.2020;Presov;4.7;Clear;27;W
11.3.2020;Presov;8.6;Foggy;46;NE
12.3.2020;Presov;-6.5;Foggy;98;NE
13.3.2020;Presov;28.0;Foggy;95;E
14.3.2020;Presov;13.7;Rainy;99;NE
15.3.2020;Presov;4.2;Cloudy;78;N
16.3.2020;Presov;2.6;Clear;80;N
17.3.2020;Presov;6.1;Foggy;46;S
18.3.2020;Presov;32.6;Clear;83;SE
19.3.2020;Presov;-3.3;Foggy;85;S
20.3.2020;Presov;0.4;Clear;47;N
21.3.2020;Presov;15.1;Foggy;78;N
22.3.2020;Presov;32.6;Clear;69;E
23.3.2020;Presov;20.5;Snowy;85;S
24.3.2020;Presov;31.4;Cloudy;99;NW
25.3.2020;Presov;-3.7;Foggy;70;E
26.3.2020;Presov;33.0;Clear;72;S
27.3.2020;Presov;13.2;Foggy;50;SE
28.3.2020;Presov;15.9;Rainy;63;SE
29.3.2020;Presov;20.7;Snowy;67;S
30.3.2020;Presov;16.5;Snowy;66;NE
31.3.2020;Presov;-4.6;Clear;54;NE
1.4.2020;Presov;-7.1;Clear;40;NE
2.4.2020;Presov;24.8;Clear;92;SW
3.4.2020;Presov;20.9;Foggy;61;SE
4.4.2020;Presov;22.2;Rainy;65;NW
5.4.2020;Presov;10.6;Clear;20;NE
6.4.2020;Presov;29.5;Clear;93;S
7.4.2020;Presov;17.4;Clear;66;S
8.4.2020;Presov;1.3;Snowy;67;NW
9.4.2020;Presov;18.8;Snowy;53;SE
10.4.2020;Presov;28.4;Rainy;61;S
11.4.2020;Presov;25.5;Clear;53;S
12.4.2020;Presov;18.5;Snowy;33;S
13.4.2020;Presov;28.2;Foggy;78;E
14.4.2020;Presov;-9.9;Clear;57;NW
15.4.2020;Presov;-1.6;Snowy;73;SE
16.4.2020;Presov;-6.5;Foggy;22;S
17.4.2020;Presov;15.1;Snowy;29;E
18.4.2020;Presov;2.2;Clear;100;N
19.4.2020;Presov;11.6;Clear;37;SE
20.4.2020;Presov;28.3;Snowy;51;NE
21.4.2020;Presov;33.4;Foggy;72;NW
22.4.2020;Presov;-3.3;Snowy;70;N
23.4.2020;Presov;4.5;Snowy;100;SW
24.4.2020;Presov;-3.6;Rainy;40;N
25.4.2020;Presov;13.6;Clear;47;N
26.4.2020;Presov;7.8;Foggy;49;NW
27.4.2020;Presov;28.7;Clear;82;E
28.4.2020;Presov;18.8;Cloudy;52;NW
29.4.2020;Presov;18.0;Rainy;48;W
30.4.2020;Presov;29.1;Rainy;94;S
1.5.2020;Presov;19.8;Rainy;92;W
2.5.2020;Presov;14.2;Cloudy;27;N
3.5.2020;Presov;-3.3;Rainy;33;SW
4.5.2020;Presov;23.8;Cloudy;22;E
5.5.2020;Presov;32.8;Clear;71;SE
6.5.2020;Presov;21.7;Foggy;23;NE
7.5.2020;Presov;21.1;Snowy;85;E
8.5.2020;Presov;20.6;Snowy;76;W
9.5.2020;Presov;19.5;Clear;46;SW
10.5.2020;Presov;27.7;Cloudy;26;S
11.5.2020;Presov;10.6;Cloudy;90;S
12.5.2020;Presov;24.3;Cloudy;38;E
13.5.2020;Presov;26.6;Cloudy;86;NW
14.5.2020;Presov;30.8;Rainy;28;NE
15.5.2020;Presov;26.7;Snowy;65;SE
16.5.2020;Presov;7.2;Snowy;42;W
17.5.2020;Presov;-9.2;Clear;40;S
18.5.2020;Presov;26.6;Cloudy;65;SE
19.5.2020;Presov;25.0;Cloudy;90;SE
20.5.2020;Presov;24.1;Clear;70;E
21.5.2020;Presov;7.3;Clear;29;NW
22.5.2020;Presov;31.2;Foggy;69;W
23.5.2020;Presov;29.7;Snowy;40;W
24.5.2020;Presov;25.8;Snowy;28;S
25.5.2020;Presov;32.1;Cloudy;49;NW
26.5.2020;Presov;-2.7;Foggy;31;NE
27.5.2020;Presov;5.9;Clear;49;NW
28.5.2020;Presov;2.1;Cloudy;77;SE
29.5.2020;Presov;30.3;Cloudy;74;SE
30.5.2020;Presov;32.9;Foggy;63;W
31.5.2020;Presov;8.7;Snowy;56;W
1.6.2020;Presov;33.4;Snowy;46;SE
2.6.2020;Presov;12.6;Cloudy;92;E
3.6.2020;Presov;-3.8;Cloudy;53;NE
4.6.2020;Presov;-8.3;Snowy;79;SE
5.6.2020;Presov;26.6;Cloudy;87;SW
6.6.2020;Presov;12.7;Foggy;30;W
7.6.2020;Presov;34.2;Foggy;99;NW
8.6.2020;Presov;22.3;Cloudy;28;S
9.6.2020;Presov;20.9;Clear;32;E
10.6.2020;Presov;9.2;Snowy;93;SE
11.6.2020;Presov;32.6;Clear;85;NW
12.6.2020;Presov;31.4;Cloudy;72;SW
13.6.2020;Presov;-9.7;Snowy;64;SE
14.6.2020;Presov;-3.7;Clear;76;SE
15.6.2020;Presov;21.7;Foggy;72;SE
16.6.2020;Presov;8.5;Snowy;77;N
17.6.2020;Presov;18.1;Foggy;76;S
18.6.2020;Presov;2.5;Cloudy;77;S
19.6.2020;Presov;17.8;Foggy;77;SE
20.6.2020;Presov;23.9;Rainy;100;N
21.6.2020;Presov;33.0;Rainy;48;SW
22.6.2020;Presov;9.8;Snowy;64;W
23.6.2020;Presov;1.3;Rainy;38;E
24.6.2020;Presov;27.8;Cloudy;35;E
25.6.2020;Presov;32.3;Snowy;55;NW
26.6.2020;Presov;6.4;Foggy;36;NW
27.6.2020;Presov;-7.6;Snowy;44;NW
28.6.2020;Presov;-9.2;Snowy;53;W
29.6.2020;Presov;22.6;Clear;70;SW
30.6.2020;Presov;31.6;Clear;43;E
1.7.2020;Presov;-2.6;Rainy;55;N
2.7.2020;Presov;27.6;Cloudy;58;E
3.7.2020;Presov;9.3;Clear;47;NW
4.7.2020;Presov;25.2;Clear;79;S
5.7.2020;Presov;11.3;Foggy;24;NW
6.7.2020;Presov;22.2;Foggy;29;S
7.7.2020;Presov;21.0;Foggy;28;S
8.7.2020;Presov;7.1;Rainy;43;N
9.7.2020;Presov;30.9;Clear;43;NW
10.7.2020;Presov;-4.4;Foggy;89;NW
11.7.2020;Presov;29.0;Foggy;99;NE
12.7.2020;Presov;12.1;Clear;26;SW
13.7.2020;Presov;29.9;Snowy;97;NE
14.7.2020;Presov;34.4;Foggy;30;S
15.7.2020;Presov;29.3;Snowy;62;W
16.7.2020;Presov;28.9;Snowy;34;S
17.7.2020;Presov;22.6;Clear;61;NW
18.7.2020;Presov;20.3;Foggy;41;N
