Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Trencin;11.4;Foggy;99;SW
2.1.2020;Trencin;-4.8;Clear;33;W
3.1.2020;Trencin;18.3;Snowy;71;S
4.1.2020;Trencin;21.8;Foggy;45;N
5.1.2020;Trencin;-0.9;Rainy;31;SE
6.1.2020;Trencin;8.9;Foggy;50;S
7.1.2020;Trencin;10.5;Rainy;58;N
8.1.2020;Trencin;34.1;Cloudy;55;W
9.1.2020;Trencin;0.2;Cloudy;26;W
10.1.2020;Trencin;-8.1;Rainy;92;W
11.1.2020;Trencin;19.2;Rainy;43;S
12.1.2020;Trencin;29.4;Snowy;59;NW
13.1.2020;Trencin;18.2;Cloudy;81;NW
14.1.2020;Trencin;3.9;Snowy;77;W
15.1.2020;Trencin;27.4;Clear;49;S
16.1.2020;Trencin;5.4;Rainy;87;W
17.1.2020;Trencin;16.7;Snowy;62;NE
18.1.2020;Trencin;3.3;Foggy;72;NW
19.1.2020;Trencin;24.4;Rainy;91;S
20.1.2020;Trencin;2.9;Cloudy;30;NW
21.1.2020;Trencin;-7.7;Foggy;37;W
22.1.2020;Trencin;-4.3;Rainy;93;NW
23.1.2020;Trencin;-7.0;Rainy;97;SE
24.1.2020;Trencin;-7.1;Foggy;33;NE
25.1.2020;Trencin;-4.4;Snowy;66;W
26.1.2020;Trencin;27.5;Foggy;97;NE
27.1.2020;Trencin;16.1;Foggy;52;E
28.1.2020;Trencin;19.7;Clear;46;SE
29.1.2020;Trencin;34.6;Cloudy;36;SW
30.1.2020;Trencin;24.5;Snowy;86;SW
31.1.2020;Trencin;-4.7;Cloudy;97;E
1.2.2020;Trencin;13.6;Snowy;58;NW
2.2.2020;Trencin;24.1;Foggy;22;NE
3.2.2020;Trencin;10.4;Foggy;69;SE
4.2.2020;Trencin;0.9;Clear;55;NE
5.2.2020;Trencin;30.2;Rainy;55;W
6.2.2020;Trencin;7.5;Clear;34;S
7.2.2020;Trencin;-6.8;Cloudy;45;NW
8.2.2020;Trencin;-9.1;Snowy;96;SE
9.2.2020;Trencin;-7.1;Cloudy;39;NW
10.2.2020;Trencin;17.2;Foggy;99;S
11.2.2020;Trencin;0.0;Cloudy;46;S
12.2.2020;Trencin;-6.6;Clear;96;NE
13.2.2020;Trencin;-9.5;Cloudy;66;S
14.2.2020;Trencin;26.9;Snowy;95;NE
15.2.2020;Trencin;35.0;Foggy;86;SW
16.2.2020;Trencin;33.2;Clear;28;E
17.2.2020;Trencin;21.6;Foggy;47;SE
18.2.2020;Trencin;2.1;Snowy;74;SE
19.2.2020;Trencin;22.6;Foggy;56;E
20.2.2020;Trencin;0.0;Snowy;26;SW
21.2.2020;Trencin;16.3;Rainy;44;E
22.2.2020;Trencin;15.8;Snowy;72;NE
23.2.2020;Trencin;33.9;Foggy;48;NE
24.2.2020;Trencin;23.1;Clear;69;S
25.2.2020;Trencin;27.3;Rainy;88;N
26.2.2020;Trencin;9.6;Rainy;95;N
27.2.2020;Trencin;6.0;Cloudy;41;E
28.2.2020;Trencin;7.0;Cloudy;42;E
29.2.2020;Trencin;8.0;Foggy;47;N
1.3.2020;Trencin;15.7;Clear;48;SE
2.3.2020;Trencin;10.3;Snowy;56;S
3.3.2020;Trencin;-4.4;Rainy;42;S
4.3.2020;Trencin;13.6;Rainy;34;E
5.3.2020;Trencin;26.0;Clear;21;NE
6.3.2020;Trencin;33.7;Rainy;74;W
7.3.2020;Trencin;33.0;Snowy;29;E
8.3.2020;Trencin;-2.7;Clear;34;W
9.3.2020;Trencin;31.1;Cloudy;60;NE
10.3.2020;Trencin;17.5;Foggy;74;W
11.3.2020;Trencin;19.8;Rainy;90;E
12.3.2020;Trencin;2.5;Snowy;45;N
13.3.2020;Trencin;21.5;Clear;38;W
14.3.2020;Trencin;31.3;Cloudy;33;N
15.3.2020;Trencin;27.1;Clear;23;N
16.3.2020;Trencin;20.6;Clear;71;N
17.3.2020;Trencin;7.3;Foggy;27;N
18.3.2020;Trencin;4.7;Snowy;31;NW
19.3.2020;Trencin;3.1;Rainy;87;SE
20.3.2020;Trencin;34.1;Foggy;38;N
21.3.2020;Trencin;-6.3;Cloudy;69;N
22.3.2020;Trencin;-7.9;Snowy;99;NW
23.3.2020;Trencin;6.9;Cloudy;80;N
24.3.2020;Trencin;22.1;Clear;96;NW
25.3.2020;Trencin;-6.9;Snowy;21;S
26.3.2020;Trencin;21.3;Clear;33;SW
27.3.2020;Trencin;2.7;Cloudy;86;NE
28.3.2020;Trencin;11.2;Snowy;49;NE
29.3.2020;Trencin;24.1;Clear;60;NE
30.3.2020;Trencin;8.8;Snowy;35;NE
31.3.2020;Trencin;1.3;Cloudy;50;NW
1.4.2020;Trencin;28.8;Rainy;27;N
2.4.2020;Trencin;30.3;Clear;38;E
3.4.2020;Trencin;0.7;Snowy;36;N
4.4.2020;Trencin;19.2;Snowy;44;NW
5.4.2020;Trencin;24.1;Rainy;60;W
