Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Trnava;26.8;Clear;46;W
2.1.2020;Trnava;32.9;Foggy;34;E
3.1.2020;Trnava;7.0;Snowy;70;E
4.1.2020;Trnava;-1.9;Snowy;46;SE
5.1.2020;Trnava;1.2;Rainy;50;SW
6.1.2020;Trnava;34.2;Rainy;93;SE
7.1.2020;Trnava;19.5;Clear;30;SW
8.1.2020;Trnava;33.6;Cloudy;25;SW
9.1.2020;Trnava;30.8;Foggy;92;S
10.1.2020;Trnava;-8.9;Cloudy;49;SE
11.1.2020;Trnava;-2.2;Foggy;100;NE
12.1.2020;Trnava;-7.0;Cloudy;68;E
13.1.2020;Trnava;33.2;Snowy;66;S
14.1.2020;Trnava;-2.8;Foggy;83;E
15.1.2020;Trnava;-2.2;Foggy;58;E
16.1.2020;Trnava;20.8;Rainy;34;E
17.1.2020;Trnava;-2.7;Snowy;55;E
18.1.2020;Trnava;-2.4;Foggy;78;SE
19.1.2020;Trnava;9.6;Rainy;50;NW
20.1.2020;Trnava;-0.1;Cloudy;28;W
21.1.2020;Trnava;6.3;Foggy;82;NE
22.1.2020;Trnava;25.5;Rainy;73;NE
23.1.2020;Trnava;8.6;Foggy;70;W
24.1.2020;Trnava;16.4;Clear;56;N
25.1.2020;Trnava;17.7;Rainy;49;E
26.1.2020;Trnava;-4.2;Rainy;87;SE
27.1.2020;Trnava;-3.1;Foggy;92;W
28.1.2020;Trnava;25.1;Clear;28;W
29.1.2020;Trnava;21.8;Foggy;30;SW
30.1.2020;Trnava;20.6;Clear;60;W
31.1.2020;Trnava;34.2;Snowy;55;NW
1.2.2020;Trnava;25.8;Rainy;97;E
2.2.2020;Trnava;14.2;Snowy;23;W
3.2.2020;Trnava;26.9;Snowy;61;NE
4.2.2020;Trnava;5.6;Rainy;66;SE
5.2.2020;Trnava;22.1;Snowy;96;SE
6.2.2020;Trnava;2.1;Rainy;78;W
7.2.2020;Trnava;-8.6;Rainy;77;S
8.2.2020;Trnava;-6.7;Snowy;62;SE
9.2.2020;Trnava;11.1;Rainy;99;E
10.2.2020;Trnava;1.2;Foggy;51;SW
11.2.2020;Trnava;19.1;Clear;33;SE
12.2.2020;Trnava;8.3;Cloudy;40;SW
13.2.2020;Trnava;23.1;Snowy;73;SE
14.2.2020;Trnava;-7.9;Cloudy;38;SE
15.2.2020;Trnava;9.1;Snowy;67;S
16.2.2020;Trnava;12.1;Foggy;83;NE
17.2.2020;Trnava;18.6;Snowy;80;N
18.2.2020;Trnava;27.8;Rainy;66;NE
19.2.2020;Trnava;34.6;Snowy;48;E
20.2.2020;Trnava;8.4;Clear;44;E
21.2.2020;Trnava;7.6;Snowy;43;W
22.2.2020;Trnava;10.8;Clear;98;N
23.2.2020;Trnava;18.5;Cloudy;54;NW
24.2.2020;Trnava;7.3;Cloudy;72;SW
25.2.2020;Trnava;13.5;Foggy;26;W
26.2.2020;Trnava;18.4;Snowy;60;N
27.2.2020;Trnava;13.2;Foggy;39;S
28.2.2020;Trnava;0.6;Foggy;56;E
29.2.2020;Trnava;16.4;Rainy;49;N
1.3.2020;Trnava;-4.5;Rainy;67;N
2.3.2020;Trnava;16.2;Foggy;58;W
3.3.2020;Trnava;0.4;Clear;53;W
4.3.2020;Trnava;-7.4;Clear;20;S
5.3.2020;Trnava;-9.8;Snowy;42;SE
6.3.2020;Trnava;27.4;Rainy;79;SW
7.3.2020;Trnava;12.5;Foggy;88;N
8.3.2020;Trnava;15.2;Cloudy;69;N
9.3.2020;Trnava;1.5;Cloudy;25;NW
10.3.2020;Trnava;-7.1;Clear;79;N
11.3.2020;Trnava;13.2;Foggy;51;NE
12.3.2020;Trnava;3.0;Cloudy;20;SE
13.3.2020;Trnava;-7.2;Snowy;69;S
14.3.2020;Trnava;4.2;Snowy;26;E
15.3.2020;Trnava;24.3;Cloudy;82;SW
16.3.2020;Trnava;16.6;Clear;66;NE
17.3.2020;Trnava;31.5;Snowy;50;W
18.3.2020;Trnava;32.3;Snowy;25;S
19.3.2020;Trnava;-1.7;Clear;50;SW
20.3.2020;Trnava;34.3;Rainy;98;E
21.3.2020;Trnava;10.4;Clear;96;S
22.3.2020;Trnava;30.4;Cloudy;59;S
23.3.2020;Trnava;27.8;Snowy;74;SW
24.3.2020;Trnava;23.7;Clear;28;NW
25.3.2020;Trnava;23.2;Foggy;52;SW
26.3.2020;Trnava;29.8;Snowy;49;SW
27.3.2020;Trnava;-3.3;Cloudy;80;S
28.3.2020;Trnava;3.8;Clear;99;SE
29.3.2020;Trnava;26.3;Cloudy;56;N
30.3.2020;Trnava;11.8;Clear;87;NW
31.3.2020;Trnava;6.7;Foggy;54;NE
1.4.2020;Trnava;25.9;Snowy;76;NE
2.4.2020;Trnava;-0.9;Rainy;25;NE
3.4.2020;Trnava;7.1;Cloudy;54;SE
4.4.2020;Trnava;-8.8;Rainy;69;SW
5.4.2020;Trnava;17.6;Clear;90;N
6.4.2020;Trnava;11.0;Cloudy;88;S
7.4.2020;Trnava;-3.4;Cloudy;35;S
8.4.2020;Trnava;-0.8;Clear;87;E
9.4.2020;Trnava;14.0;Rainy;34;S
10.4.2020;Trnava;11.1;Clear;85;W
11.4.2020;Trnava;0.2;Foggy;59;N
12.4.2020;Trnava;29.4;Cloudy;51;NW
13.4.2020;Trnava;26.6;Clear;24;NE
14.4.2020;Trnava;2.7;Clear;44;SW
15.4.2020;Trnava;10.0;Snowy;79;N
16.4.2020;Trnava;1.2;Cloudy;20;NE
17.4.2020;Trnava;9.6;Cloudy;95;SE
18.4.2020;Trnava;-1.8;Rainy;83;E
19.4.2020;Trnava;5.3;Foggy;26;N
20.4.2020;Trnava;5.9;Snowy;98;E
21.4.2020;Trnava;34.6;Rainy;67;S
22.4.2020;Trnava;19.7;Cloudy;65;N
23.4.2020;Trnava;29.8;Rainy;51;E
24.4.2020;Trnava;31.0;Clear;47;S
25.4.2020;Trnava;24.0;Rainy;59;N
26.4.2020;Trnava;1.7;Cloudy;36;NW
27.4.2020;Trnava;29.8;Cloudy;75;SE
28.4.2020;Trnava;23.1;Foggy;66;NE
29.4.2020;Trnava;28.4;Rainy;75;NE
30.4.2020;Trnava;2.9;Rainy;41;N
1.5.2020;Trnava;25.9;Clear;24;W
2.5.2020;Trnava;17.4;Cloudy;26;SE
3.5.2020;Trnava;22.7;Foggy;69;S
4.5.2020;Trnava;3.6;Rainy;100;E
5.5.2020;Trnava;0.1;Foggy;91;SW
6.5.2020;Trnava;-5.6;Clear;62;N
7.5.2020;Trnava;0.4;Clear;68;NE
8.5.2020;Trnava;5.8;Rainy;100;E
9.5.2020;Trnava;24.4;Snowy;29;NE
10.5.2020;Trnava;12.8;Rainy;75;SE
11.5.2020;Trnava;27.0;Foggy;90;NW
12.5.2020;Trnava;15.8;Cloudy;51;NW
13.5.2020;Trnava;13.6;Snowy;92;SW
14.5.2020;Trnava;19.6;Clear;58;E
15.5.2020;Trnava;25.3;Clear;75;SW
16.5.2020;Trnava;19.1;Rainy;69;S
17.5.2020;Trnava;-8.7;Rainy;84;SW
18.5.2020;Trnava;-6.6;Cloudy;90;S
19.5.2020;Trnava;10.0;Cloudy;37;N
20.5.2020;Trnava;30.4;Clear;22;NW
21.5.2020;Trnava;-2.4;Foggy;58;E
22.5.2020;Trnava;18.1;Foggy;38;N
23.5.2020;Trnava;12.7;Cloudy;48;N
24.5.2020;Trnava;-1.1;Snowy;40;S
25.5.2020;Trnava;25.8;Foggy;86;W
26.5.2020;Trnava;29.1;Cloudy;80;NW
27.5.2020;Trnava;10.0;Rainy;70;SW
28.5.2020;Trnava;34.4;Rainy;25;NW
29.5.2020;Trnava;28.1;Cloudy;51;N
30.5.2020;Trnava;5.1;Snowy;61;E
31.5.2020;Trnava;-2.0;Snowy;80;N
1.6.2020;Trnava;27.8;Foggy;45;N
2.6.2020;Trnava;17.9;Foggy;79;SW
3.6.2020;Trnava;-9.9;Snowy;77;S
4.6.2020;Trnava;7.6;Cloudy;53;NW
5.6.2020;Trnava;-1.4;Foggy;94;NE
6.6.2020;Trnava;3.7;Rainy;25;SE
7.6.2020;Trnava;25.3;Snowy;31;W
8.6.2020;Trnava;26.7;Cloudy;53;N
9.6.2020;Trnava;17.2;Snowy;37;SE
10.6.2020;Trnava;9.7;Clear;57;W
11.6.2020;Trnava;26.3;Clear;49;W
12.6.2020;Trnava;32.6;Rainy;27;NE
13.6.2020;Trnava;-6.7;Cloudy;81;SW
14.6.2020;Trnava;19.9;Clear;23;S
15.6.2020;Trnava;16.1;Snowy;75;S
16.6.2020;Trnava;-9.0;Snowy;39;E
17.6.2020;Trnava;7.8;Snowy;98;NW
18.6.2020;Trnava;32.1;Cloudy;63;NE
19.6.2020;Trnava;-9.1;Snowy;81;S
20.6.2020;Trnava;23.2;Rainy;80;N
21.6.2020;Trnava;7.8;Snowy;55;NW
22.6.2020;Trnava;24.7;Foggy;62;W
23.6.2020;Trnava;21.4;Cloudy;53;N
24.6.2020;Trnava;29.2;Clear;34;NE
25.6.2020;Trnava;22.7;Snowy;71;W
26.6.2020;Trnava;20.0;Foggy;75;W
27.6.2020;Trnava;2.9;Rainy;63;NE
28.6.2020;Trnava;14.9;Snowy;73;N
29.6.2020;Trnava;-3.1;Snowy;90;W
