Date;City;Temperature (°C);Sky Condition;Humidity (%);Wind Direction
1.1.2020;Zilina;32.4;Clear;35;E
2.1.2020;Zilina;13.0;Rainy;32;SE
3.1.2020;Zilina;24.4;Clear;69;W
4.1.2020;Zilina;-5.4;Foggy;35;W
5.1.2020;Zilina;17.1;Snowy;76;SE
6.1.2020;Zilina;12.3;Foggy;86;SW
7.1.2020;Zilina;5.8;Foggy;25;S
8.1.2020;Zilina;21.6;Cloudy;22;W
9.1.2020;Zilina;28.1;Snowy;34;S
10.1.2020;Zilina;25.4;Cloudy;62;N
11.1.2020;Zilina;34.9;Cloudy;30;NW
12.1.2020;Zilina;12.4;Rainy;81;S
13.1.2020;Zilina;-0.4;Rainy;39;NE
14.1.2020;Zilina;2.9;Rainy;72;S
15.1.2020;Zilina;32.0;Clear;36;N
16.1.2020;Zilina;25.4;Clear;61;S
17.1.2020;Zilina;-2.5;Cloudy;60;NW
18.1.2020;Zilina;17.7;Snowy;74;NE
19.1.2020;Zilina;18.8;Rainy;75;S
20.1.2020;Zilina;27.6;Cloudy;82;E
21.1.2020;Zilina;10.2;Cloudy;77;S
22.1.2020;Zilina;4.4;Rainy;78;NW
23.1.2020;Zilina;26.9;Foggy;24;SE
24.1.2020;Zilina;18.8;Clear;26;SE
25.1.2020;Zilina;22.6;Snowy;63;SW
26.1.2020;Zilina;0.8;Foggy;93;W
27.1.2020;Zilina;5.3;Clear;22;S
28.1.2020;Zilina;22.6;Clear;49;SW
29.1.2020;Zilina;7.8;Clear;46;E
30.1.2020;Zilina;14.0;Rainy;69;SE
31.1.2020;Zilina;-4.3;Rainy;61;N
1.2.2020;Zilina;5.5;Snowy;83;SE
2.2.2020;Zilina;33.0;Cloudy;84;NW
3.2.2020;Zilina;29.7;Clear;99;N
4.2.2020;Zilina;-2.5;Foggy;34;NW
5.2.2020;Zilina;5.5;Cloudy;90;N
6.2.2020;Zilina;-4.8;Foggy;63;S
7.2.2020;Zilina;3.7;Clear;32;SE
8.2.2020;Zilina;33.5;Cloudy;94;W
9.2.2020;Zilina;8.6;Cloudy;78;N
10.2.2020;Zilina;24.1;Snowy;41;W
11.2.2020;Zilina;1.9;Cloudy;56;SE
12.2.2020;Zilina;21.8;Foggy;93;N
13.2.2020;Zilina;5.9;Clear;85;NW
14.2.2020;Zilina;-7.0;Foggy;47;SE
15.2.2020;Zilina;-0.8;Snowy;35;SE
16.2.2020;Zilina;-2.5;Foggy;45;N
17.2.2020;Zilina;22.6;Cloudy;25;SE
18.2.2020;Zilina;24.3;Clear;74;E
19.2.2020;Zilina;28.3;Snowy;48;NE
20.2.2020;Zilina;8.5;Clear;88;N
21.2.2020;Zilina;15.6;Rainy;30;SW
22.2.2020;Zilina;1.7;Rainy;73;NW
23.2.2020;Zilina;9.9;Clear;26;N
24.2.2020;Zilina;22.9;Foggy;52;W
25.2.2020;Zilina;13.8;Foggy;40;SW
26.2.2020;Zilina;-5.7;Rainy;49;NW
27.2.2020;Zilina;14.5;Cloudy;25;NW
28.2.2020;Zilina;22.0;Cloudy;83;N
29.2.2020;Zilina;-0.4;Snowy;88;S
1.3.2020;Zilina;32.3;Rainy;62;NW
2.3.2020;Zilina;-3.3;Cloudy;44;SW
3.3.2020;Zilina;20.2;Snowy;94;SE
4.3.2020;Zilina;28.8;Snowy;27;S
5.3.2020;Zilina;26.1;Cloudy;53;SE
6.3.2020;Zilina;24.0;Clear;84;SE
7.3.2020;Zilina;2.6;Rainy;41;W
8.3.2020;Zilina;-8.6;Cloudy;91;N
9.3.2020;Zilina;10.8;Rainy;59;NW
10.3.2020;Zilina;12.9;Clear;97;S
11.3.2020;Zilina;1.6;Clear;22;SE
12.3.2020;Zilina;34.4;Snowy;39;SW
13.3.2020;Zilina;19.5;Rainy;44;W
14.3.2020;Zilina;17.4;Rainy;36;W
15.3.2020;Zilina;19.7;Foggy;95;SE
16.3.2020;Zilina;17.2;Clear;45;NW
17.3.2020;Zilina;-7.7;Rainy;73;S
18.3.2020;Zilina;32.5;Foggy;64;E
19.3.2020;Zilina;31.8;Foggy;37;E
20.3.2020;Zilina;23.2;Cloudy;22;SW
21.3.2020;Zilina;19.2;Foggy;99;SW
22.3.2020;Zilina;33.9;Cloudy;79;E
23.3.2020;Zilina;-2.6;Rainy;75;S
24.3.2020;Zilina;31.6;Rainy;37;E
25.3.2020;Zilina;23.2;Snowy;66;SW
26.3.2020;Zilina;23.3;Snowy;57;N
27.3.2020;Zilina;-0.8;Clear;44;SW
28.3.2020;Zilina;11.1;Clear;43;SE
29.3.2020;Zilina;8.5;Snowy;96;E
30.3.2020;Zilina;15.3;Rainy;56;SE
31.3.2020;Zilina;6.6;Foggy;29;E
1.4.2020;Zilina;17.5;Clear;84;W
2.4.2020;Zilina;33.0;Rainy;38;W
3.4.2020;Zilina;34.9;Cloudy;71;SW
4.4.2020;Zilina;-6.1;Rainy;21;NE
5.4.2020;Zilina;0.7;Clear;27;S
6.4.2020;Zilina;13.2;Rainy;74;S
7.4.2020;Zilina;23.4;Snowy;65;SE
8.4.2020;Zilina;21.9;Foggy;23;NE
9.4.2020;Zilina;11.0;Cloudy;97;W
10.4.2020;Zilina;-3.1;Snowy;31;NW
11.4.2020;Zilina;3.0;Clear;92;N
12.4.2020;Zilina;-7.0;Foggy;21;E
13.4.2020;Zilina;23.6;Foggy;31;W
14.4.2020;Zilina;2.8;Foggy;37;SE
15.4.2020;Zilina;31.9;Snowy;44;SE
16.4.2020;Zilina;22.5;Cloudy;66;SE
17.4.2020;Zilina;21.2;Snowy;70;NW
18.4.2020;Zilina;32.0;Foggy;70;SE
19.4.2020;Zilina;8.1;Foggy;79;N
20.4.2020;Zilina;8.5;Cloudy;95;S
21.4.2020;Zilina;23.6;Clear;32;S
22.4.2020;Zilina;23.8;Cloudy;67;NE
23.4.2020;Zilina;24.4;Cloudy;64;E
24.4.2020;Zilina;0.4;Cloudy;52;E
25.4.2020;Zilina;-6.4;Clear;73;SE
26.4.2020;Zilina;-7.9;Clear;54;NE
27.4.2020;Zilina;1.5;Snowy;24;W
28.4.2020;Zilina;17.5;Cloudy;56;N
29.4.2020;Zilina;0.9;Rainy;23;W
30.4.2020;Zilina;21.0;Clear;56;S
1.5.2020;Zilina;4.8;Snowy;35;NE
2.5.2020;Zilina;-8.4;Clear;92;NE
3.5.2020;Zilina;34.1;Snowy;43;N
4.5.2020;Zilina;34.4;Snowy;81;W
5.5.2020;Zilina;-9.1;Snowy;46;NW
6.5.2020;Zilina;4.1;Foggy;36;W
7.5.2020;Zilina;14.7;Cloudy;99;NE
8.5.2020;Zilina;32.0;Rainy;43;E
9.5.2020;Zilina;0.2;Snowy;59;W
10.5.2020;Zilina;16.4;Snowy;22;S
11.5.2020;Zilina;33.0;Cloudy;38;SW
12.5.2020;Zilina;4.6;Cloudy;83;NE
13.5.2020;Zilina;17.6;Clear;38;NE
14.5.2020;Zilina;33.7;Clear;41;SW
15.5.2020;Zilina;-4.7;Foggy;46;N
16.5.2020;Zilina;7.5;Clear;53;W
17.5.2020;Zilina;16.2;Rainy;54;NE
18.5.2020;Zilina;-5.4;Rainy;43;SE
19.5.2020;Zilina;-8.0;Cloudy;92;W
20.5.2020;Zilina;-8.9;Foggy;85;N
21.5.2020;Zilina;15.8;Foggy;85;E
22.5.2020;Zilina;24.0;Snowy;78;W
23.5.2020;Zilina;6.7;Snowy;74;N
24.5.2020;Zilina;1.6;Snowy;64;W
25.5.2020;Zilina;31.5;Rainy;57;SE
26.5.2020;Zilina;23.3;Foggy;33;E
27.5.2020;Zilina;19.0;Snowy;83;S
28.5.2020;Zilina;32.0;Rainy;37;NE
29.5.2020;Zilina;28.9;Clear;82;S
30.5.2020;Zilina;24.2;Cloudy;61;E
31.5.2020;Zilina;0.5;Rainy;100;S
1.6.2020;Zilina;24.3;Clear;45;SW
2.6.2020;Zilina;17.8;Rainy;44;W
3.6.2020;Zilina;27.9;Foggy;41;S
4.6.2020;Zilina;21.5;Snowy;56;SW
5.6.2020;Zilina;17.1;Cloudy;100;N
6.6.2020;Zilina;-3.9;Cloudy;71;S
7.6.2020;Zilina;28.5;Foggy;24;NE
8.6.2020;Zilina;0.9;Snowy;90;SE
9.6.2020;Zilina;27.2;Clear;78;S
10.6.2020;Zilina;-9.2;Cloudy;60;NW
11.6.2020;Zilina;1.3;Clear;42;S
12.6.2020;Zilina;-9.8;Cloudy;55;E
13.6.2020;Zilina;-7.0;Clear;51;N
14.6.2020;Zilina;6.4;Clear;81;W
15.6.2020;Zilina;18.4;Snowy;71;S
16.6.2020;Zilina;15.8;Foggy;49;NE
17.6.2020;Zilina;3.4;Snowy;95;SW
18.6.2020;Zilina;25.8;Clear;20;E
19.6.2020;Zilina;17.5;Rainy;90;NE
20.6.2020;Zilina;21.3;Cloudy;77;SE
21.6.2020;Zilina;-0.7;Clear;96;SE
22.6.2020;Zilina;13.0;Rainy;79;W
23.6.2020;Zilina;-1.6;Foggy;21;E
24.6.2020;Zilina;24.1;Rainy;71;SE
25.6.2020;Zilina;25.1;Foggy;49;N
